model,val_accuracy,test_accuracy,val_f1,test_f1
Random Forest,0.5605263157894737,0.4921052631578947,0.4135567956664788,0.3673161097800313
XGBoost,0.5421052631578948,0.4710526315789474,0.4752169324577861,0.39759497835752206
Gradient Boosting,0.5342105263157895,0.4421052631578947,0.4744622946026533,0.37446302858492797
Logistic Regression,0.5157894736842106,0.43157894736842106,0.47905383503919924,0.3912614256071382
KNN,0.45263157894736844,0.38421052631578945,0.38661691871095916,0.3380153828069084
